Date,Closing Price,High,Low,Opening Price,Volume,Ticker
01-11-2023,3479.215576,3488.584821,3158.016588,3183.43342,16947598,TITAN.NS
01-12-2023,3663.462646,3724.811953,3458.682761,3487.588178,16004029,TITAN.NS
01-01-2024,3685.490723,3874.272909,3630.620216,3676.968559,18010779,TITAN.NS
01-02-2024,3612.579102,3725.808698,3491.575139,3725.808698,20625268,TITAN.NS
01-03-2024,3789.400635,3825.781592,3535.481491,3618.160905,17330604,TITAN.NS
01-04-2024,3577.543945,3820.05049,3466.905963,3810.481703,19920768,TITAN.NS
01-05-2024,3231.32666,3587.262099,3206.258783,3577.543898,33644037,TITAN.NS
01-06-2024,3393.097412,3613.177338,3045.684133,3299.204687,32946110,TITAN.NS
01-07-2024,3458.949951,3552.5,3126.100098,3382,40871099,TITAN.NS
01-08-2024,3565.149902,3658.800049,3283.899902,3475,25336924,TITAN.NS
01-09-2024,3823.949951,3867,3552,3565.149902,24360688,TITAN.NS
01-10-2024,3267.050049,3837.949951,3227,3823.949951,22331618,TITAN.NS
01-11-2024,3249,3369.850098,3106,3304,26238789,TITAN.NS
01-12-2024,3253.149902,3518,3222.050049,3249,20940022,TITAN.NS
01-01-2025,3490.25,3576.699951,3244.050049,3248,22989339,TITAN.NS
01-02-2025,3077.25,3652,3060,3527,18762063,TITAN.NS
01-03-2025,3063.350098,3205,2985.050049,3090,17575830,TITAN.NS
