Date,Closing Price,High,Low,Opening Price,Volume,Ticker
01-01-2021,13634.59961,14753.5498,13596.75,13996.09961,13119900,^NSEI
01-02-2021,14529.15039,15431.75,13661.75,13758.59961,14313900,^NSEI
01-03-2021,14690.7002,15336.2998,14264.40039,14702.5,9886800,^NSEI
01-04-2021,14631.09961,15044.34961,14151.40039,14798.40039,9344700,^NSEI
01-05-2021,15582.7998,15606.34961,14416.25,14481.0498,9859900,^NSEI
01-06-2021,15721.5,15915.65039,15450.90039,15629.65039,8079100,^NSEI
01-07-2021,15763.0498,15962.25,15513.4502,15755.0498,5756800,^NSEI
01-08-2021,17132.19922,17153.5,15834.65039,15874.90039,6349900,^NSEI
01-09-2021,17618.15039,17947.65039,17055.05078,17185.59961,6955600,^NSEI
01-10-2021,17671.65039,18604.44922,17452.90039,17531.90039,7651200,^NSEI
01-11-2021,16983.19922,18210.15039,16782.40039,17783.15039,5853100,^NSEI
01-12-2021,17354.05078,17639.5,16410.19922,17104.40039,5499300,^NSEI
01-01-2022,17339.84961,18350.94922,16836.80078,17387.15039,5435500,^NSEI
01-02-2022,16793.90039,17794.59961,16203.25,17529.44922,5620100,^NSEI
01-03-2022,17464.75,17559.80078,15671.4502,16593.09961,7959500,^NSEI
01-04-2022,17102.55078,18114.65039,16824.69922,17436.90039,5658100,^NSEI
01-05-2022,16584.55078,17132.84961,15735.75,16924.44922,6343200,^NSEI
01-06-2022,15780.25,16793.84961,15183.40039,16594.40039,5514100,^NSEI
01-07-2022,17158.25,17172.80078,15511.0498,15703.7002,5475300,^NSEI
01-08-2022,17759.30078,17992.19922,17154.80078,17243.19922,5589500,^NSEI
01-09-2022,17094.34961,18096.15039,16747.69922,17485.69922,6896300,^NSEI
01-10-2022,18012.19922,18022.80078,16855.55078,17102.09961,4539900,^NSEI
01-11-2022,18758.34961,18816.05078,17959.19922,18130.69922,5257200,^NSEI
01-12-2022,18105.30078,18887.59961,17774.25,18871.94922,4741600,^NSEI
01-01-2023,17662.15039,18251.94922,17405.55078,18131.69922,5632700,^NSEI
01-02-2023,17303.94922,18134.75,17255.19922,17811.59961,5685600,^NSEI
01-03-2023,17359.75,17799.94922,16828.34961,17360.09961,5622200,^NSEI
01-04-2023,18065,18089.15039,17312.75,17427.94922,4459800,^NSEI
01-05-2023,18534.40039,18662.44922,18042.40039,18124.80078,5737500,^NSEI
01-06-2023,19189.05078,19201.69922,18464.55078,18579.40039,5144400,^NSEI
01-07-2023,19753.80078,19991.84961,19234.40039,19246.5,5802500,^NSEI
01-08-2023,19253.80078,19795.59961,19223.65039,19784,6027500,^NSEI
01-09-2023,19638.30078,20222.44922,19255.69922,19258.15039,5666500,^NSEI
01-10-2023,19079.59961,19849.75,18837.84961,19622.40039,4248400,^NSEI
01-11-2023,20133.15039,20158.69922,18973.69922,19064.05078,4386100,^NSEI
01-12-2023,21731.40039,21801.44922,20183.69922,20194.09961,6121400,^NSEI
01-01-2024,21725.69922,22124.15039,21137.19922,21727.75,6824400,^NSEI
01-02-2024,21982.80078,22297.5,21530.19922,21780.65039,6728200,^NSEI
01-03-2024,22326.90039,22526.59961,21710.19922,22048.30078,6700100,^NSEI
01-04-2024,22604.84961,22783.34961,21777.65039,22455,6034000,^NSEI
01-05-2024,22530.69922,23110.80078,21821.05078,22567.84961,6691400,^NSEI
01-06-2024,24010.59961,24174,21281.44922,23337.90039,7751100,^NSEI
01-07-2024,24951.15039,24999.75,23992.69922,23992.94922,6250600,^NSEI
01-08-2024,25235.90039,25268.34961,23893.69922,25030.94922,6327000,^NSEI
01-09-2024,25810.84961,26277.34961,24753.15039,25333.59961,6162500,^NSEI
01-10-2024,24205.34961,25907.59961,24073.90039,25788.44922,6328000,^NSEI
01-11-2024,24131.09961,24537.59961,23263.15039,24302.75,5887700,^NSEI
01-12-2024,23644.80078,24857.75,23460.44922,24140.84961,5450800,^NSEI
01-01-2025,23508.40039,24226.69922,22786.90039,23637.65039,6458100,^NSEI
01-02-2025,22124.69922,23807.30078,22104.84961,23319.34961,5364300,^NSEI
01-03-2025,23519.34961,23869.59961,21964.59961,22194.55078,6239300,^NSEI
